,,8846072,,,ＡＣＴＨ分泌低下症
,,9961003,,,ＡＣバイパス術後
,,8830052,,,ＡＣバイパス術後機械的合併症
,,8849235,,,ＡＤＡ２欠損症
,,8830053,,,ＡＤＡ欠乏症
,,8830054,,,ＡＤＨ異常
,,8845101,,,ＡＦＰ高値
,,8845843,,,ＡＨアミロイドーシス
,,2793011,,,ＡＩＤＳ
,,8830055,,,ＡＩＤＳ関連症候群
,,8830056,,,ＡＩＤＳ検査陽性
,,8847271,,,ＡＬＫ陰性未分化大細胞リンパ腫
,,8847272,,,ＡＬＫ融合遺伝子陽性非小細胞肺癌
,,8847273,,,ＡＬＫ陽性大細胞型Ｂ細胞性リンパ腫
,,8847274,,,ＡＬＫ陽性未分化大細胞リンパ腫
,,8845844,,,ＡＬアミロイドーシス
,,8849697,,,ＡＭＥ症候群
,,8845513,,,ＡＮＣＡ関連血管炎
,,8848109,,,ＡＮＣＡ関連腎炎
,,8848429,,,ＡＴＲ－Ｘ症候群
,,8830057,,,ＡＶＭ
,,0701001,,,Ａ型肝炎
,,8842305,,,Ａ型外斜視
,,8846073,,,Ａ型劇症肝炎
,,8830058,,,Ａ型食道閉鎖
,,8842333,,,Ａ型内斜視
,,8845514,,,Ａ群連鎖球菌敗血症
,,8830059,,,ＢＢ型ハンセン病
,,8847144,,,ＢＣＧ副反応
,,8847275,,,ＢＣＲ－ＡＢＬ１陽性Ｂリンパ芽球性白血病
,,8847276,,,ＢＣＲ－ＡＢＬ１陽性Ｂリンパ芽球性白血病／リンパ腫
,,8847277,,,ＢＣＲ－ＡＢＬ１陽性Ｂリンパ芽球性リンパ腫
,,8845515,,,ＢＨ４反応性高フェニルアラニン血症
,,8844117,,,ＢＫウイルス腎症
,,8847067,,,ＢＬＮＡＲ感染症
,,8830060,,,ＢＬ型ハンセン病
,,8848313,,,ＢＲＡＦ遺伝子変異陽性悪性黒色腫
,,8830061,,,ＢＴ型ハンセン病
,,8848834,,,Ｂウイルス病
,,8845198,,,Ｂ型インスリン受容体異常症
,,0703002,,,Ｂ型肝炎
,,8830062,,,Ｂ型肝炎ウイルス感染
,,8849559,,,Ｂ型肝炎ウイルス感染の既往
,,8843998,,,Ｂ型肝炎ウイルス感染母体より出生した児
,,8848430,,,Ｂ型肝炎ウイルス性関節炎
,,8848013,,,Ｂ型肝炎合併妊娠
,,8843999,,,Ｂ型肝硬変
,,0703021,,,Ｂ型急性肝炎
,,8830063,,,Ｂ型劇症肝炎
,,8848181,,,Ｂ型代償性肝硬変
,,8848182,,,Ｂ型非代償性肝硬変
,,0703003,,,Ｂ型慢性肝炎
,,8841290,,,Ｂ群溶連菌感染症
,,8844000,,,Ｂ群溶連菌感染母体より出生した児
,,8847448,,,Ｂ群溶連菌性化膿性股関節炎
,,8841291,,,Ｂ群溶連菌保菌者
,,8830064,,,Ｂ群連鎖球菌性先天性肺炎
,,8830065,,,Ｂ群連鎖球菌肺炎
,,8849560,,,Ｂ群連鎖球菌敗血症
,,8847826,,,Ｂ細胞性移植後リンパ増殖性疾患
,,8847278,,,Ｂ細胞性前リンパ球性白血病
,,8849059,,,Ｂ細胞性非ホジキンリンパ腫
,,8847279,,,Ｂリンパ芽球性白血病
,,8847280,,,Ｂリンパ芽球性白血病／リンパ腫
,,8847281,,,Ｂリンパ芽球性リンパ腫
,,8845102,,,ＣＡ１２５高値
,,8845103,,,ＣＡ１５－３高値
,,8845104,,,ＣＡ１９－９高値
,,8849236,,,ＣＡＣＴ欠損症
,,8850919,,,ＣＡＤ／ＣＡＭインレー過高
,,8850920,,,ＣＡＤ／ＣＡＭインレー粗造
,,8850921,,,ＣＡＤ／ＣＡＭインレー脱離
,,8850922,,,ＣＡＤ／ＣＡＭインレー低位
,,8850923,,,ＣＡＤ／ＣＡＭインレー破損
,,8850924,,,ＣＡＤ／ＣＡＭインレー不適合
,,8848014,,,ＣＡＤ／ＣＡＭ冠過高
,,8848015,,,ＣＡＤ／ＣＡＭ冠粗造
,,8848016,,,ＣＡＤ／ＣＡＭ冠脱離
,,8848017,,,ＣＡＤ／ＣＡＭ冠低位
,,8848018,,,ＣＡＤ／ＣＡＭ冠破損
,,8848019,,,ＣＡＤ／ＣＡＭ冠不適合
,,8847912,,,ＣＡＤＡＳＩＬ
,,8843821,,,ＣＡＰＤカテーテル位置異常
,,8842648,,,ＣＡＰＤカテーテルトンネル感染
,,8848835,,,ＣＡＰＤカテーテル破損
,,8842649,,,ＣＡＰＤ出口部感染
,,8842650,,,ＣＡＰＤ腹膜炎
,,8847913,,,ＣＡＲＡＳＩＬ
,,8850960,,,ＣＡＳＫ異常症
,,8847282,,,ＣＣＲ４陽性成人Ｔ細胞白血病リンパ腫
,,8848110,,,ＣＣＲ４陽性皮膚Ｔ細胞リンパ腫
,,8848111,,,ＣＣＲ４陽性末梢性Ｔ細胞リンパ腫
,,8848431,,,ＣＤ２０陽性Ｂ細胞性非ホジキンリンパ腫
,,8849561,,,ＣＤ８欠損症
,,8845105,,,ＣＥＡ高値
,,8848183,,,ＣＦＣ症候群
,,8845627,,,ＣＨＡＲＧＥ症候群
,,8848432,,,ＣＨＩＬＤ症候群
,,8849852,,,ＣＭ関節外傷性変形性関節症
,,8849853,,,ＣＭ関節原発性変形性関節症
,,8849854,,,ＣＭ関節続発性変形性関節症
,,8340017,,,ＣＭ関節脱臼
,,7362028,,,ＣＭ関節変形性関節症
,,8830068,,,ＣＯ２ナルコーシス
,,8850104,,,ＣＯＶＩＤ－１９
,,8850613,,,ＣＯＶＩＤ－１９・ウイルス同定
,,8850614,,,ＣＯＶＩＤ－１９・ウイルス未同定
,,8850702,,,ＣＯＶＩＤ－１９感染母体より出生した児
,,8850615,,,ＣＯＶＩＤ－１９関連の多系統炎症性症候群
,,8850616,,,ＣＯＶＩＤ－１９関連の多系統炎症性症候群・詳細不明
,,8850617,,,ＣＯＶＩＤ－１９後遺症
,,8850618,,,ＣＯＶＩＤ－１９後遺症・詳細不明
,,8850619,,,ＣＯＶＩＤ－１９の既往
,,8850620,,,ＣＯＶＩＤ－１９の既往・詳細不明
,,8850703,,,ＣＯＶＩＤ－１９の予防接種
,,8850704,,,ＣＯＶＩＤ－１９の予防接種・詳細不明
,,8850701,,,ＣＯＶＩＤ－１９肺炎
,,8850705,,,ＣＯＶＩＤ－１９ワクチン接種副反応
,,8850706,,,ＣＯＶＩＤ－１９ワクチン接種副反応・詳細不明
,,8847145,,,ＣＰＴ１欠損症
,,8847146,,,ＣＰＴ２欠損症
,,8830070,,,ＣＲ３欠損症
,,2553007,,,ＣＲＨ産生腫瘍
,,8845106,,,ＣＹＦＲＡ高値
,,8844118,,,Ｃ管理中
,,0703022,,,Ｃ型肝炎
,,8842154,,,Ｃ型肝炎ウイルス感染
,,8849562,,,Ｃ型肝炎ウイルス感染の既往
,,8844001,,,Ｃ型肝炎ウイルス感染母体より出生した児
,,8848433,,,Ｃ型肝炎ウイルス性関節炎
,,8848020,,,Ｃ型肝炎合併妊娠
,,8844002,,,Ｃ型肝硬変
,,0703024,,,Ｃ型急性肝炎
,,8846074,,,Ｃ型劇症肝炎
,,8830071,,,Ｃ型食道閉鎖
,,8848184,,,Ｃ型代償性肝硬変
,,8848185,,,Ｃ型非代償性肝硬変
,,0703025,,,Ｃ型慢性肝炎
,,8849563,,,Ｃ群連鎖球菌敗血症
,,8844119,,,Ｃ選療
,,8848186,,,ＤＡＸ－１異常症
,,8850961,,,ＤＤＸ３Ｘ関連神経発達異常症
,,7169054,,,ＤＩＰ関節炎
,,8841872,,,ＤＩＰ関節開放性脱臼骨折
,,8849855,,,ＤＩＰ関節外傷性変形性関節症
,,8849856,,,ＤＩＰ関節原発性変形性関節症
,,8849857,,,ＤＩＰ関節続発性変形性関節症
,,8340016,,,ＤＩＰ関節脱臼
,,8160038,,,ＤＩＰ関節脱臼骨折
,,8160035,,,ＤＩＰ関節内骨折
,,8830072,,,ＤＩＰ関節捻挫
,,7274063,,,ＤＩＰ関節部ガングリオン
,,7153001,,,ＤＩＰ関節変形性関節症
,,0703026,,,Ｄ型肝炎
,,8846237,,,Ｄ群連鎖球菌敗血症
,,8830073,,,Ｄ不適合
,,8847283,,,Ｅ２Ａ－ＰＢＸ１陽性Ｂリンパ芽球性白血病
,,8847284,,,Ｅ２Ａ－ＰＢＸ１陽性Ｂリンパ芽球性白血病／リンパ腫
,,8847285,,,Ｅ２Ａ－ＰＢＸ１陽性Ｂリンパ芽球性リンパ腫
,,8843023,,,ＥＢウイルス肝炎
,,8842254,,,ＥＢウイルス感染症
,,8830074,,,ＥＢウイルス関連免疫不全症
,,8847914,,,ＥＢウイルス伝染性単核症
,,8841657,,,ＥＢウイルス肺炎
,,8844348,,,ＥＤＴＡ依存性偽性血小板減少症
,,8847732,,,ＥＧＦＲ遺伝子変異陽性非小細胞肺癌
,,8843024,,,ＥＲＣＰ後膵炎
,,8847068,,,ＥＳＢＬ産生菌感染症
,,8846238,,,ＥＳＷＬ後腎皮膜下血腫
,,2449038,,,Ｅｕｔｈｙｒｏｉｄ　Ｓｉｃｋ症候群
,,0703027,,,Ｅ型肝炎
,,8846075,,,Ｅ型劇症肝炎
,,8830075,,,Ｅ不適合
,,8849564,,,ＦＢＰａｓｅ欠損症
,,8850116,,,ＦＧＦ２３関連低リン血症性くる病
,,8850117,,,ＦＧＦ２３関連低リン血症性骨軟化症
,,8849858,,,ＦＬＴ３－ＩＴＤ変異陽性急性骨髄性白血病
,,8844832,,,ＦＳＨ産生下垂体腺腫
,,2534012,,,ＦＳＨ単独欠損症
,,8830076,,,Ｇ６ＰＤ欠乏性貧血
,,8849565,,,ＧＡＢＡアミノ基転移酵素欠損症
,,8848686,,,ＧＡＬＥ欠損症
,,8848434,,,ＧＡＬＴ欠損症
,,8830079,,,ＧＭ１ガングリオシドーシス
,,8830080,,,ＧＭ２ガングリオシドーシス
,,8830081,,,ＧＭ２ガングリオシドーシス１型
,,8830082,,,ＧＭ２ガングリオシドーシス２型
,,8850962,,,ＧＭ２ガングリオシドーシスＡＢ型
,,8830084,,,ＧＭ３ガングリオシドーシス
,,8850963,,,ＧＲＩＮ２Ｂ関連神経発達異常症
,,8843636,,,ＧＶＨＤ・骨髄移植後
,,8843637,,,ＧＶＨＤ・臍帯血移植後
,,8843638,,,ＧＶＨＤ・末梢血幹細胞移植後
,,8849566,,,Ｇ群連鎖球菌敗血症
,,8849567,,,ＨＡＤＨ欠損症
,,8830088,,,ＨＢＶキャリア
,,8849568,,,ＨＢｃ抗体検査陽性
,,8830085,,,ＨＢｅ抗原検査陽性
,,8830086,,,ＨＢｓ抗原検査陽性
,,8849569,,,ＨＢｓ抗体検査陽性
,,8830087,,,ＨＢウイルス腎症
,,8848435,,,ＨＣＡＨＣ
,,8841292,,,ＨＣＶキャリア
,,8830089,,,ＨＣＶ抗体検査陽性
,,8830090,,,ＨＣウイルス腎症
,,8848436,,,ＨＤＬＳ
,,8842155,,,ＨＥＬＬＰ症候群
,,8849698,,,ＨＥＲ２陽性胃癌
,,8850964,,,ＨＥＲ２陽性唾液腺癌
,,8849699,,,ＨＥＲ２陽性乳癌
,,8841631,,,ＨＥＶキャリア
,,8847286,,,ＨＨＶ８多中心性キャッスルマン病随伴大細胞型Ｂ細胞性リンパ腫
,,8847287,,,ＨＩＶ－１感染症
,,8847288,,,ＨＩＶ－２感染症
,,8830091,,,ＨＩＶカポジ肉腫
,,8830092,,,ＨＩＶカリニ肺炎
,,8830093,,,ＨＩＶ間質性肺炎
,,8830094,,,ＨＩＶカンジダ病
,,8842156,,,ＨＩＶ感染
,,0798002,,,ＨＩＶ感染症
,,8845516,,,ＨＩＶ感染症の認知症
,,8844003,,,ＨＩＶ感染母体より出生した児
,,8830095,,,ＨＩＶキャリア
,,8850707,,,ＨＩＶクリプトコッカス症
,,8850708,,,ＨＩＶクリプトコッカス性脳髄膜炎
,,2793018,,,ＨＩＶ検査陽性
,,8830096,,,ＨＩＶサイトメガロウイルス感染症
,,8830097,,,ＨＩＶ腎症
,,8830098,,,ＨＩＶ脳症
,,8830099,,,ＨＩＶバーキットリンパ腫
,,8843639,,,ＨＩＶ非結核性抗酸菌症
,,8830100,,,ＨＩＶ非ホジキンリンパ腫
,,8849060,,,ＨＩＶヘルペスウイルス感染症
,,8844004,,,ＨＩＶ網膜症
,,8849570,,,ＨＭＧ－ＣｏＡ合成酵素欠損症
,,8847147,,,ＨＭＧ血症
,,0798003,,,ＨＴＬＶ－１感染症
,,8830102,,,ＨＴＬＶ－１関連脊髄症
,,8830103,,,ＨＴＬＶ－１キャリア
,,8844005,,,ＨＴＬＶ－１ぶどう膜炎
,,8848437,,,Ｈｓｐ６０　シャペロン病
,,8847449,,,ＩＣ－ＰＣ動脈瘤破裂によるくも膜下出血
,,8849571,,,ＩＣＦ症候群
,,8842117,,,ＩＣＵ症候群
,,8847289,,,ＩＬ３－ＩＧＨ陽性Ｂリンパ芽球性白血病
